no,Day,tanggalformat,Jumlah_Kasus_Baru_per_Hari,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces
1,3/2/2020,2020/03/02,2,0.286,3.571,0.714,0.857,-4.571,3.429
2,3/3/2020,2020/03/03,0,1.429,5.286,0.286,2,-4,4.429
3,3/4/2020,2020/03/04,0,1.714,6,0.429,1.857,-4.286,4.571
4,3/5/2020,2020/03/05,0,2.286,6.857,0.429,2,-4,4.571
5,3/6/2020,2020/03/06,2,2.429,7,0.429,2,-3.714,4.714
6,3/7/2020,2020/03/07,0,2.571,7,0.429,1.857,-3.286,4.714
7,3/8/2020,2020/03/08,2,2.571,6.857,0.429,1.714,-2.714,4.857
8,3/9/2020,2020/03/09,13,2.143,5.571,0.571,1.429,-2.857,4.857
9,3/10/2020,2020/03/10,8,2.143,5,0.714,1.286,-2.286,4.714
10,3/11/2020,2020/03/11,7,2.571,5.143,0.714,1.571,-1.286,4.714
11,3/12/2020,2020/03/12,0,2.286,4.429,0.857,1.286,-1.143,4.714
12,3/13/2020,2020/03/13,35,2.286,4.286,0.857,1,-1,4.714
13,3/14/2020,2020/03/14,27,1.571,3.857,1,-0.143,-1.286,4.571
14,3/15/2020,2020/03/15,21,0.429,3.714,1.286,-1.714,-2.429,4.571
15,3/16/2020,2020/03/16,17,-0.857,3.571,1.857,-3.571,-3.429,2.714
16,3/17/2020,2020/03/17,38,-2.571,2.857,2.571,-6,-5.143,0.286
17,3/18/2020,2020/03/18,55,-4.571,2.143,3.571,-9.143,-7.143,-2.571
18,3/19/2020,2020/03/19,82,-7.143,1,4.714,-13,-9.571,-5.571
19,3/20/2020,2020/03/20,60,-10.143,-0.429,6,-17.571,-12.286,-9
20,3/21/2020,2020/03/21,81,-13.143,-1.571,7.143,-21.571,-15.714,-11.286
21,3/22/2020,2020/03/22,64,-16.714,-4.143,8.143,-25.857,-19.571,-12.857
22,3/23/2020,2020/03/23,65,-19.571,-6.143,9.286,-30,-22,-15.571
23,3/24/2020,2020/03/24,106,-22.429,-7.857,10.286,-33.714,-24.286,-18.143
24,3/25/2020,2020/03/25,105,-26.286,-10.714,12.143,-38.143,-27,-24.286
25,3/26/2020,2020/03/26,103,-28.857,-12.429,13,-41,-28.857,-26.714
26,3/27/2020,2020/03/27,153,-31.286,-13.857,13.857,-43.571,-30.714,-28.857
27,3/28/2020,2020/03/28,109,-34,-16,14.714,-46,-33,-30.571
28,3/29/2020,2020/03/29,130,-36.143,-17.714,15.429,-47.714,-34.857,-31.714
29,3/30/2020,2020/03/30,129,-37.429,-18.857,15.857,-49.143,-35.857,-32.714
30,3/31/2020,2020/03/31,114,-38.286,-19.571,16.143,-50.143,-36.714,-33.286
31,4/1/2020,2020/04/01,149,-37.286,-18.143,15.286,-49.714,-36.286,-29.857
32,4/2/2020,2020/04/02,113,-37.143,-17.571,15.429,-50.286,-36.143,-30
33,4/3/2020,2020/04/03,196,-37,-17.571,15.571,-50.857,-36.143,-30.143
34,4/4/2020,2020/04/04,106,-36.714,-17.571,15.571,-51.429,-36,-30.429
35,4/5/2020,2020/04/05,181,-36.143,-17.143,15.429,-52,-35.714,-30.714
36,4/6/2020,2020/04/06,218,-35.857,-17.143,15.429,-52.429,-35.571,-30.714
37,4/7/2020,2020/04/07,247,-35.571,-17.143,15.429,-52.714,-35.286,-30.714
38,4/8/2020,2020/04/08,218,-36,-18.143,15.429,-53.143,-35.571,-30.857
